source,vote_threshold,segment_max_spoof_threshold,suspicious_chunk_ratio_threshold,clean_human_borderline_margin,n_samples,clean_human_false_alarm_count,clean_human_accept_count,clean_human_borderline_count,clean_human_review_rate,clean_human_n,human_replay_n,ai_replay_n,direct_ai_detected_count,direct_ai_segment_suspicious_count,human_replay_detected_count,ai_replay_detected_count,ai_replay_missed_count,ai_replay_segment_suspicious_count,human_mixer_detected_count,human_mixer_missed_count,ai_mixer_detected_count,ai_mixer_missed_count,ai_mixer_segment_suspicious_count,direct_ai_missed_count,human_replay_missed_count,partial_fabrication_missed_count,partial_fabrication_not_evaluable_count,partial_fabrication_detected_count,partial_fabrication_evaluable_n,direct_ai_n,human_mixer_n,ai_mixer_n,product_score
candidate_ensemble,0.55,0.95,0.3,0.05,184,20,1,2,0.08695652173913043,23,23,23,3,16,23,21,0,2,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.6,0.85,0.1,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,19,23,19,0,4,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.6,0.85,0.2,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,18,23,19,0,4,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.6,0.85,0.3,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,18,23,19,0,4,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.6,0.9,0.1,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,19,23,19,0,4,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.6,0.9,0.2,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,18,23,19,0,4,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.6,0.9,0.3,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,18,23,19,0,4,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.6,0.95,0.1,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,18,23,19,0,4,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.6,0.95,0.2,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,17,23,19,0,4,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.6,0.95,0.3,0.05,184,19,2,2,0.08695652173913043,23,23,23,2,17,23,19,0,4,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.85,0.1,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,20,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.65,0.85,0.2,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.85,0.3,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.9,0.1,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,20,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.65,0.9,0.2,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.9,0.3,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.95,0.1,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,19,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.65,0.95,0.2,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,18,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7478260869565219
candidate_ensemble,0.65,0.95,0.3,0.05,184,18,3,2,0.08695652173913043,23,23,23,1,18,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7478260869565219
candidate_ensemble,0.7,0.85,0.1,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.7,0.85,0.2,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.7,0.85,0.3,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.7,0.9,0.1,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.7,0.9,0.2,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.7,0.9,0.3,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.7,0.95,0.1,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.7,0.95,0.2,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.7,0.95,0.3,0.05,184,18,4,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7565217391304349
candidate_ensemble,0.75,0.85,0.1,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.75,0.85,0.2,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.75,0.85,0.3,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.75,0.9,0.1,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.75,0.9,0.2,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.75,0.9,0.3,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.75,0.95,0.1,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.75,0.95,0.2,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.75,0.95,0.3,0.05,184,17,5,1,0.043478260869565216,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7652173913043478
candidate_ensemble,0.8,0.85,0.1,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.791304347826087
candidate_ensemble,0.8,0.85,0.2,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.8,0.85,0.3,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.8,0.9,0.1,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,21,23,15,0,8,23,0,23,0,0,2,0,2,0,44,46,23,23,23,0.791304347826087
candidate_ensemble,0.8,0.9,0.2,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.8,0.9,0.3,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.8,0.95,0.1,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,20,23,15,0,8,23,0,23,0,0,3,0,2,0,44,46,23,23,23,0.782608695652174
candidate_ensemble,0.8,0.95,0.2,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7739130434782608
candidate_ensemble,0.8,0.95,0.3,0.05,184,15,6,2,0.08695652173913043,23,23,23,0,19,23,15,0,8,23,0,23,0,0,4,0,2,0,44,46,23,23,23,0.7739130434782608
